beq      xxxxxxxxxxxxxxxxx000xxxxx0001111
bne      xxxxxxxxxxxxxxxxx100xxxxx0001111
blt      xxxxxxxxxxxxxxxxx001xxxxx0001111
bge      xxxxxxxxxxxxxxxxx101xxxxx0001111
bltu     xxxxxxxxxxxxxxxxx011xxxxx0001111
bgeu     xxxxxxxxxxxxxxxxx111xxxxx0001111
jalr     xxxxxxxxxxxxxxxxx000xxxxx1001111
jal      xxxxxxxxxxxxxxxxxxxxxxxxx1101111
lui      xxxxxxxxxxxxxxxxxxxxxxxxx1011011
auipc    xxxxxxxxxxxxxxxxxxxxxxxxx1010011
addi     xxxxxxxxxxxxxxxxx000xxxxx0010011
slti     xxxxxxxxxxxxxxxxx010xxxxx0010011
sltiu    xxxxxxxxxxxxxxxxx110xxxxx0010011
xori     xxxxxxxxxxxxxxxxx001xxxxx0010011
ori      xxxxxxxxxxxxxxxxx011xxxxx0010011
andi     xxxxxxxxxxxxxxxxx111xxxxx0010011
add      0000000xxxxxxxxxx000xxxxx0011011
sub      0100110xxxxxxxxxx000xxxxx0011011
sll      0000000xxxxxxxxxx100xxxxx0011011
slt      0000000xxxxxxxxxx010xxxxx0011011
sltu     0000000xxxxxxxxxx110xxxxx0011011
xor      0000000xxxxxxxxxx001xxxxx0011011
srl      0000000xxxxxxxxxx101xxxxx0011011
sra      0100110xxxxxxxxxx101xxxxx0011011
or       0000000xxxxxxxxxx011xxxxx0011011
and      0000000xxxxxxxxxx111xxxxx0011011
lb       xxxxxxxxxxxxxxxxx000xxxxx0000011
lh       xxxxxxxxxxxxxxxxx100xxxxx0000011
lw       xxxxxxxxxxxxxxxxx010xxxxx0000011
lbu      xxxxxxxxxxxxxxxxx001xxxxx0000011
lhu      xxxxxxxxxxxxxxxxx101xxxxx0000011
sb       xxxxxxxxxxxxxxxxx000xxxxx0001011
sh       xxxxxxxxxxxxxxxxx100xxxxx0001011
sw       xxxxxxxxxxxxxxxxx010xxxxx0001011
fence    xxxxxxxxxxxxxxxxx000xxxxx1100011
fence.i  xxxxxxxxxxxxxxxxx100xxxxx1100011
